,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,15.24060296185374,10.408371776775367,29.06395134128717,12.495535934361452,1.0419228153009075,-0.23865315,-0.29670584
0.5,17.53155334322374,13.116695098263152,30.833380122196,13.12362406662972,1.333741973181274,0.0095290663,0.027083166
0.95,22.22856960431577,15.163630365472661,33.28841027544481,14.011812085812235,2.1224201334451953,0.24342217,0.41283026
