,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,10.462282729813657,5.118115896896927,19.945675687059126,8.552239713935602,1.0646294884000984,-0.07926466616449611,-0.42190221706122244
0.5,13.692615121217115,7.662789971771804,21.434738100880438,8.839633611438252,1.784863687164627,0.2432315903091585,0.07249478793637126
0.95,22.448336906965302,9.84836591591019,27.5971884496587,9.17890500702793,4.376012434697666,0.5169496235768125,0.6408088271620842
