,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,25.179868849495296,15.405660542717518,46.78379799508732,19.565893559369183,1.0518221041557734,-0.4298999538280556,-0.5324996873456734
0.5,30.755696502788716,19.974004908849942,50.917487272293585,21.346251820467643,1.5420775064101133,-0.02160975366562827,-0.02514985176895117
0.95,38.078487088847766,24.847403967437515,56.250602815685156,23.551299579709234,2.3830385455548124,0.25877401929084093,0.40016022086381314
