,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,32.702778994487375,32.702778994487375,65.40555798897475,28.46942267499963,1.0
0.5,39.38072143863884,39.38072143863884,78.76144287727767,34.28290923141478,1.0
0.95,50.58419882409075,50.58419882409075,101.1683976481815,44.03610278019533,1.0
