,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,34.004524653331494,23.08903004616865,63.09225106499645,26.771620492757986,1.0260650356361456,-0.50553253,-0.56150752
0.5,40.58917735413171,31.383676838705664,71.74583656057908,30.64389307724234,1.2617904487915759,-0.02440346,-0.0352680385
0.95,51.03335205821707,38.82384014582597,84.20114109906741,36.171061323600036,2.0331892617340106,0.386981535,0.38326105
