,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,32.48482418652979,26.161690845710847,62.724567566739594,27.087259606309548,1.0125163491224805,-0.3138009739393123,-0.4530406342224419
0.5,35.583454796703236,30.54561099912963,66.03421208056122,28.546817450983063,1.157714972967628,0.0034435168088422638,-0.022615840653560454
0.95,40.244063506465096,33.56440823374197,69.8176287607792,30.2091058784276,1.511180299419349,0.32643871450260414,0.3197198293833326
