,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,9.941353265698977,4.4981619260443555,18.77984947145597,8.028262256259568,1.0628066534573462,-0.14151917,-0.31897517038449696
0.5,12.265619356935591,7.804804320282108,20.292654787930374,8.482925760371948,1.5662936556829865,0.14844628,0.084594376
0.95,24.65608829343555,9.515215387658492,29.19465692865898,8.981834536359251,5.464124686328623,0.5534410342194254,0.58450365
