,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,39.85311741194231,39.85311741194231,79.70623482388461,34.69415381207294,1.0,-0.007748880175087564,-0.26854200267657347
0.5,50.05309864692785,50.05309864692785,100.1061972938557,43.57375322179951,1.0,0.4596110912526224,0.19528496118114813
0.95,66.21448938031534,66.21448938031534,132.42897876063068,57.64306102839873,1.0,0.8466616492607792,0.7774590912509278
