,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,10.055490102511493,5.529729665747255,19.240838169571983,8.274142368584124,1.0484917411977295
0.5,12.260443544637129,8.083056003400541,20.526158638481387,8.598962419160825,1.5158808687077152
0.95,19.35745385527694,9.762367339565783,24.99386512766213,9.141540109592706,3.4893129843422064
