,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,26.220110850158314,13.902191941245055,47.61040484741894,19.632310030565034,1.08788427741167
0.5,35.2219313835924,18.151214261480206,53.6073863216322,21.512316336122236,1.9462743091527523
0.95,44.79380241961179,25.394215909428624,62.04952483250035,25.073656370507578,3.05028899002478
