,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,26.02622719258347,17.028557321967106,48.01304092169783,20.30487161721122,1.0365023726919653,-0.47377929,-0.53258747
0.5,33.44853227480334,23.36899042019825,56.95336036830962,24.03276741714933,1.4107939821423445,0.015091446,-0.0023613472
0.95,45.72567755746299,30.13518209379853,70.04192355955915,29.389121612797254,2.385134234774793,0.48382512,0.49459008099999996
