,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,27.981333783890403,21.36243054616946,53.04881444791213,22.772831081762384,1.0223317268368295
0.5,31.85319654231597,25.92238107402575,57.53524070150347,24.76679649096724,1.214686852903904
0.95,37.589364792088084,30.30610967735055,64.94897470277125,28.061092255799423,1.6625759469041794
