,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,45.79042797734914,29.213219891530564,84.8603156064415,35.481721503669284,1.0270876088861653
0.5,53.64709538467028,40.78670059207502,94.08988264501276,40.17576851995947,1.3010751319335732
0.95,65.48412089456231,49.07426812243614,105.77666771127052,45.43791471768961,2.1428695321542897
