,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2,final_spin,final_mass_source
unit,Msun,Msun,Msun,Msun,#,#,#,#,Msun
0.05,24.947808654803623,7.40763947110731,34.70121723977494,12.918779001079855,2.532574197451558,0.06715893745772822,-0.37227870339488317,0.0,0.0
0.5,30.05061062057906,8.320395201467521,38.399656122656374,13.25497086059636,3.610840385828355,0.2997895072494608,0.06886272520585268,0.0,0.0
0.95,34.713882935972435,9.902327376295702,42.164627046842554,13.669807198403651,4.669977604489572,0.4167202008862339,0.6277631014377747,0.0,0.0
