,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,3.4114490680640106,0.9884368571084864,5.680417586278843,2.327613793810586,1.5097357319738554
0.5,5.707997587250286,1.4586593603907143,7.165057128554052,2.407180344197973,3.919218870313548
0.95,9.676489038781563,2.261470673512336,10.66074082294756,2.4851283848864543,9.8008845260862
