,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,26.68056257886318,14.688887542494657,48.0071179539364,19.82755643953144,1.0472632511840965,-0.25693694,-0.42701533
0.5,36.20418983094915,22.724459475101597,58.42632950399973,24.153578275273418,1.5394931775339953,0.11823824,0.051114533
0.95,55.00886577429687,35.69755291354667,86.72020101626721,36.22104254843734,3.078661921889425,0.63686538,0.65552384
