,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,27.582470528297133,21.13187054290153,53.16905171768901,22.922021383793368,1.0203557278525959,-0.210442312657628,-0.3688515229918888
0.5,30.53729745009086,25.168960507469905,55.81551399466315,24.050007625346687,1.2087820254913424,0.06728760611034236,0.033175505697601484
0.95,36.10802983651822,27.979283867590574,59.245317401609164,25.440426250002645,1.6791703772120936,0.4282015473537833,0.42244353999999984
