,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,73.93352162644065,46.18330318854847,136.89543734492645,57.632781139667536,1.027359849042794
0.5,91.33022164221964,66.8212470297407,157.8231745316056,66.85459739324745,1.3242194496793744
0.95,120.2408545400505,87.68141777453485,195.03566648915967,82.41771755894935,2.4113304934910316
