,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,48.584924729331604,26.019050045655185,88.09490409694426,35.760367169632325,1.0715303621642829
0.5,63.898688412397824,38.48503866173385,101.51464098368245,41.95851202127151,1.6459067873733275
0.95,78.93730871761743,50.92122916392538,119.54136854520189,50.429537075508065,2.805708934314012
