,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,43.261932195123556,23.62063948261472,78.10390835668895,31.81762231578486,1.0511241670055742,-0.014013220803752066,-0.25572576544263387
0.5,55.387329778219765,34.985329721918454,90.09122210539189,37.45498540164784,1.5770787656472174,0.38892838,0.20920607118074333
0.95,71.19727059430797,46.61900834258474,107.38046977441333,45.27622412757159,2.7500238873805243,0.7960786303303129,0.7892774219015173
