,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,37.23741841238277,28.04206871347643,69.75675683558465,29.91677051373939,1.024423451974082,-0.32198808,-0.35699191399999997
0.5,43.48361237661788,35.16615131197975,78.68981968907612,33.86133223714469,1.214479334380247,0.018323863,0.0068672439
0.95,51.04732010451873,41.459009134374654,88.18441964205743,38.13804795050151,1.6989602546114133,0.40960918249999984,0.40395543
