,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,35.11969751837251,20.57300314250251,63.24858463836911,25.992548556089467,1.0543843096893424,-0.45249534,-0.49810696
0.5,42.94955823415545,28.499980013267688,71.3391918967863,30.06188060547394,1.5104416701362726,-0.019966279,-0.00045205612
0.95,52.158640496719414,36.041162329710126,80.69137088361302,34.229635084705116,2.3591373494225407,0.3043118679999989,0.4637861799999999
