,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,1.6841653325645118,1.0909751487859913,3.278664618762034,1.4174672253178329,1.0422832378622242
0.5,2.0272666828647226,1.3535115436254748,3.3872883331059542,1.4377566664330765,1.4972090077394122
0.95,2.6031371863620767,1.61550296554065,3.7004914767156913,1.4594405359497995,2.38080737377696
