,Mass1,Mass2,TotMass,ChirpMass,q
unit,Msun,Msun,Msun,Msun,#
0.05,22.207432367555228,2.498124044420824,24.86379164044066,6.036367183599131,8.340740261247067
0.5,23.207174101036994,2.588029724100419,25.79740591988568,6.092452052481251,8.963032598756252
0.95,24.328563217322603,2.671450379211049,26.839571527238032,6.151959283384394,9.716049531618262
