,Mass1,Mass2,TotMass,ChirpMass,q,spin1,spin2
unit,Msun,Msun,Msun,Msun,#,#,#
0.05,6.850465739028895,3.1428803540749337,12.960998106820178,5.542180297446722,1.0808049041475287,-0.22016124009141277,-0.33462905804188003
0.5,8.831156427910605,5.030458481440206,13.909305956445213,5.75367857197985,1.7570145728369744,0.022701433,0.025302508316710444
0.95,15.761588885805349,6.369302017076523,18.936785686564388,5.992771503718699,5.012384721956059,0.41073783597975827,0.507439804902288
